SINTA_ID,Nama,Universitas,Department,Subjects,SINTA_Score_Overall,SINTA_Score_3Yr,Affil_Score,Affil_Score_3Yr,Scopus,GScholar,WOS
5986966,AJI SURAJI,Universitas Widya Gama,S1 - Teknik Sipil,"Highway Engineering, Traffic Engineering and Management, Transportation Engineering and Management",2.326,1.289,0,0,"0    12
1    36
2     8
3     4
4     0
5     1
Name: Scopus, dtype: int64","0     79
1    283
2     44
3     10
4     11
5      1
Name: GScholar, dtype: int64","0     4
1    15
2     4
3     2
4     0
5     4
Name: WOS, dtype: int64"
161222,ISTIADI,Universitas Widya Gama,S1 - Teknik Informatika,"Electronic and Information Technology, Expert System, Semantic Technology",1.873,950,0,0,"0    27
1    64
2    19
3     5
4     1
5     3
Name: Scopus, dtype: int64","0     86
1    386
2     63
3     10
4     10
5      1
Name: GScholar, dtype: int64","0    7
1    4
2    4
3    1
4    0
5    2
Name: WOS, dtype: int64"
6172418,AVIV YUNIAR RAHMAN,Universitas Widya Gama,S1 - Teknik Informatika,"Image Processing, Computer Vision, Deep Learning, Natural Language Processing",1.438,810,0,0,"0     32
1    128
2     21
3      8
4      6
5      1
Name: Scopus, dtype: int64","0     92
1    450
2     54
3     12
4     15
5      1
Name: GScholar, dtype: int64","0    6
1    8
2    6
3    2
4    0
5    2
Name: WOS, dtype: int64"
5978881,ANA SOPANAH SUPRIYADI,Universitas Widya Gama,S1 - Akuntansi,Public Sector of Accounting,1.665,801,0,0,"0     5
1    21
2     4
3     3
4     1
5     5
Name: Scopus, dtype: int64","0     89
1    573
2     57
3     13
4     20
5      1
Name: GScholar, dtype: int64","0     1
1    12
2     1
3     1
4     1
5     0
Name: WOS, dtype: int64"
161208,FITRI MARISA,Universitas Widya Gama,S1 - Teknik Informatika,"Computer Support learning, data mining",2.173,787,0,0,"0    17
1    84
2    13
3     5
4     3
5     1
Name: Scopus, dtype: int64","0     175
1    1526
2     112
3      22
4      38
5       1
Name: GScholar, dtype: int64","0     9
1    26
2     6
3     3
4     1
5     1
Name: WOS, dtype: int64"
5977179,CANDRA ADITYA,Universitas Widya Gama,S1 - Teknik Sipil,civil engeneering,1.332,706,0,0,"0    10
1    13
2     5
3     2
4     0
5     1
Name: Scopus, dtype: int64","0     52
1    159
2     33
3      7
4      5
5      1
Name: GScholar, dtype: int64","0    0
1    0
2    0
3    0
4    0
5    0
Name: WOS, dtype: int64"
5977530,ADYA HERMAWATI,Universitas Widya Gama,S2 - Manajemen,"Human Resource Management, Management Strategy, Perilaku Organisasi",1.879,653,0,0,"0     21
1    128
2     18
3      7
4      5
5      1
Name: Scopus, dtype: int64","0     172
1    1256
2     111
3      19
4      30
5       1
Name: GScholar, dtype: int64","0    0
1    0
2    0
3    0
4    0
5    0
Name: WOS, dtype: int64"
5972684,SABAR SETIAWIDAYAT,Universitas Widya Gama,S1 - Teknik Elektro,"Electrical engineering, biomedical engineering",1.238,588,0,0,"0    10
1    41
2     7
3     5
4     1
5     1
Name: Scopus, dtype: int64","0     87
1    366
2     49
3     10
4     10
5      1
Name: GScholar, dtype: int64","0    2
1    2
2    2
3    1
4    0
5    2
Name: WOS, dtype: int64"
5973160,GIGIH PRIYANDOKO,Universitas Widya Gama,S1 - Teknik Elektro,"Automatic Control, Applied Mechanic",1.817,527,0,0,"0     43
1    576
2     34
3     10
4     10
5      1
Name: Scopus, dtype: int64","0     127
1    1083
2      75
3      16
4      21
5       1
Name: GScholar, dtype: int64","0     17
1    316
2     12
3      7
4      4
5      1
Name: WOS, dtype: int64"
5998828,RIMAN,Universitas Widya Gama,S1 - Teknik Sipil,Teknik Sipil,660,502,0,0,"0    4
1    2
2    1
3    1
4    0
5    1
Name: Scopus, dtype: int64","0    17
1    30
2     7
3     3
4     1
5     2
Name: GScholar, dtype: int64","0    0.0
1    0.0
2    0.0
3    NaN
4    NaN
5    NaN
Name: WOS, dtype: float64"
5986025,AGUS TUGAS SUDJIANTO,Universitas Widya Gama,S1 - Teknik Sipil,Teknik Sipil,758,479,0,0,"0     9
1    18
2     5
3     2
4     1
5     1
Name: Scopus, dtype: int64","0     52
1    205
2     25
3      8
4      5
5      1
Name: GScholar, dtype: int64","0    0.0
1    0.0
2    0.0
3    NaN
4    NaN
5    NaN
Name: WOS, dtype: float64"
6663726,PURBO SUWANDONO,Universitas Widya Gama,S1 - Teknik Mesin,"heat transfer, manufacturing, mechanic fluid, mathematic",685,466,0,0,"0     9
1    10
2     5
3     2
4     0
5     1
Name: Scopus, dtype: int64","0    50
1    98
2    26
3     5
4     2
5     1
Name: GScholar, dtype: int64","0    0.0
1    0.0
2    0.0
3    NaN
4    NaN
5    NaN
Name: WOS, dtype: float64"
5998680,SUDIYONO,Universitas Widya Gama,S1 - Teknologi Hasil Pertanian,Teknologi Hasil Pertanian,2.827,447,0,0,"0    4
1    3
2    1
3    2
4    0
5    1
Name: Scopus, dtype: int64","0    13
1    30
2     8
3     4
4     0
5     1
Name: GScholar, dtype: int64","0      110
1    19737
2       89
3       21
4       50
5        1
Name: WOS, dtype: int64"
6684776,DAFID IRAWAN,Universitas Widya Gama,S1 - Teknik Sipil,civil engineering,706,439,0,0,"0    1
1    2
2    1
3    1
4    0
5    0
Name: Scopus, dtype: int64","0    30
1    37
2    12
3     4
4     0
5     1
Name: GScholar, dtype: int64","0    0.0
1    0.0
2    0.0
3    NaN
4    NaN
5    NaN
Name: WOS, dtype: float64"
