SINTA_ID,Author_Name,University,Department,Subjects,SINTA_Score_Overall,SINTA_Score_3Yr,Affil_Score,Affil_Score_3Yr,Scopus,GScholar,WOS
5986966,AJI SURAJI,Universitas Widya Gama,S1 - Teknik Sipil,"Highway Engineering, Traffic Engineering and Management, Transportation Engineering and Management",2.326,1.289,0,0,12,79,4.0
161222,ISTIADI,Universitas Widya Gama,S1 - Teknik Informatika,"Electronic and Information Technology, Expert System, Semantic Technology",1.873,950,0,0,27,86,7.0
6172418,AVIV YUNIAR RAHMAN,Universitas Widya Gama,S1 - Teknik Informatika,"Image Processing, Computer Vision, Deep Learning, Natural Language Processing",1.438,810,0,0,32,92,6.0
5978881,ANA SOPANAH SUPRIYADI,Universitas Widya Gama,S1 - Akuntansi,Public Sector of Accounting,1.665,801,0,0,5,89,1.0
161208,FITRI MARISA,Universitas Widya Gama,S1 - Teknik Informatika,"Computer Support learning, data mining",2.173,787,0,0,17,175,9.0
5977179,CANDRA ADITYA,Universitas Widya Gama,S1 - Teknik Sipil,civil engeneering,1.332,706,0,0,10,52,0.0
5977530,ADYA HERMAWATI,Universitas Widya Gama,S2 - Manajemen,"Human Resource Management, Management Strategy, Perilaku Organisasi",1.879,653,0,0,21,172,0.0
5972684,SABAR SETIAWIDAYAT,Universitas Widya Gama,S1 - Teknik Elektro,"Electrical engineering, biomedical engineering",1.238,588,0,0,10,87,2.0
5973160,GIGIH PRIYANDOKO,Universitas Widya Gama,S1 - Teknik Elektro,"Automatic Control, Applied Mechanic",1.817,527,0,0,43,127,17.0
5998828,RIMAN,Universitas Widya Gama,S1 - Teknik Sipil,Teknik Sipil,660,502,0,0,4,17,0.0
5986025,AGUS TUGAS SUDJIANTO,Universitas Widya Gama,S1 - Teknik Sipil,Teknik Sipil,758,479,0,0,9,52,0.0
6663726,PURBO SUWANDONO,Universitas Widya Gama,S1 - Teknik Mesin,"heat transfer, manufacturing, mechanic fluid, mathematic",685,466,0,0,9,50,0.0
5998680,SUDIYONO,Universitas Widya Gama,S1 - Teknologi Hasil Pertanian,Teknologi Hasil Pertanian,2.827,447,0,0,4,13,110.0
6684776,DAFID IRAWAN,Universitas Widya Gama,S1 - Teknik Sipil,civil engineering,706,439,0,0,1,30,0.0
6104467,EMMA BUDI SULISTIARINI,Universitas Widya Gama,S1 - Teknik Industri,Industrial Engineering and Management,965,434,0,0,6,77,2.0
6660008,ABDUL HALIM,Universitas Widya Gama,S1 - Teknik Sipil,Struktur dan Teknologi Bahan,611,418,0,0,2,31,0.0
6666868,MOHAMMAD CAKRAWALA,Universitas Widya Gama,S1 - Teknik Sipil,Teknik Sipil,629,404,0,0,0,26,0.0
5977277,ARIE RESTU WARDHANI,Universitas Widya Gama,S1 - Teknik Industri,"Innovation Management, SME's, Optimisation, Simulation, Management Information System",615,396,0,0,1,40,0.0
5978136,SRI RAHAJU DJATIMURTI RITA HANAFIE,Universitas Widya Gama,S1 - Agribisnis,"agribusiness, food security, agricultural economics",909,371,0,0,5,49,0.0
5972680,FACHRUDIN,Universitas Widya Gama,S1 - Teknik Elektro,"Artificial Intelligence Control, Behaved Based Optimization",888,369,0,0,13,70,3.0
161268,NURIDA FINAHARI,Universitas Widya Gama,S1 - Teknik Mesin,"Mechanical Engineering, Biomechanic, Vibration, Sound",770,369,0,0,2,85,1.0
6727265,CHOIRUL ANAM,Universitas Widya Gama,S1 - Manajemen,"Human Capital, Organizational, Leadership, Philosophy",549,362,0,0,0,61,2.0
5987236,DADANG HERMAWAN,Universitas Widya Gama,S1 - Teknik Mesin,Konversi Energi dan Material,704,338,0,0,5,41,0.0
5972668,FAQIH ROFII,Universitas Widya Gama,S1 - Teknik Elektro,"Wireless and Mobile Communication, Telecommunication Transmision and networks, Optimization",609,320,0,0,9,55,1.0
6738705,HANIF RANI ISWARI,Universitas Widya Gama,S1 - Manajemen,Management,435,280,0,0,0,54,0.0
5989963,NOVA RISDIYANTO ISMAIL,Universitas Widya Gama,S1 - Teknik Mesin,Konversi Energi,603,254,0,0,4,79,0.0
5990602,RAHAYU PUJI SUCI,Universitas Widya Gama,S2 - Manajemen,Manajemen,804,252,0,0,8,117,0.0
5985900,GATOT SOEBIYAKTO,Universitas Widya Gama,S1 - Teknik Mesin,Konversi Energi,457,241,0,0,1,56,0.0
5982671,WAHJU WULANDARI,Universitas Widya Gama,S1 - Manajemen,Ilmu Managemen,693,233,0,0,0,85,0.0
5972723,DEDI USMAN EFFENDY,Universitas Widya Gama,S1 - Teknik Elektro,Electrical Engginering,585,232,0,0,1,40,0.0
6648492,ALFIANA,Universitas Widya Gama,S1 - Manajemen,Manajemen,433,218,0,0,0,68,0.0
5981061,CHAULIAH FATMA PUTRI,Universitas Widya Gama,S1 - Teknik Industri,"Performance Measurement, Industrial Engineering",606,214,0,0,4,47,0.0
5978109,EVI NURIFAH JULITASARI,Universitas Widya Gama,S1 - Agribisnis,Kebijakan Perdagangan,396,210,0,0,3,28,0.0
6695241,ARIEF RIZKI FADHILLAH,Universitas Widya Gama,S1 - Teknik Mesin,Material Manufaktur dan komposit,322,208,0,0,1,41,0.0
5974912,IWAN NUGROHO,Universitas Widya Gama,S1 - Agribisnis,"Regional development, Ecotourism, Socio economic, Economics",1.416,205,0,0,5,152,2.0
5990635,SILVIANA,Universitas Widya Gama,S1 - Teknik Industri,Teknik Industri,614,201,0,0,4,25,0.0
6808233,MULYONO,Universitas Widya Gama,D3 - Keuangan Dan Perbankan,Manajemen,368,199,0,0,0,0,0.0
259792,SYAHRONI WAHYU IRIANANDA,Universitas Widya Gama,S1 - Teknik Informatika,"Artificial Intelligent, Text Mining, Decision Support System, Data Science",296,196,0,0,0,26,0.0
5983146,YUNI AGUNG NUGROHO,Universitas Widya Gama,S1 - Agroteknologi,"pertanian organik, modeling, hortikultura",417,192,0,0,0,31,0.0
6007790,WIWIN PURNOMOWATI,Universitas Widya Gama,S1 - Akuntansi,Ekonomi Pembangunan,306,181,0,0,3,23,0.0
5983346,RIRIEN PRIHANDARINI,Universitas Widya Gama,S1 - Agroteknologi,pertanian organik,393,174,0,0,3,32,0.0
5998823,DWI ANGGARANI,Universitas Widya Gama,S1 - Akuntansi,Akuntansi,339,170,0,0,2,64,0.0
6833552,SURVIVAL,Universitas Widya Gama,S1 - Manajemen,"Manajemen, Manajemen Sumber Daya Manusia, Perilaku Keorganisasian, Manajemen Operasional, Pengantar Ilmu Ekonomi",227,167,0,0,1,12,0.0
5979034,SUKAMTO,Universitas Widya Gama,S1 - Teknologi Hasil Pertanian,Food Chemistry and Technology,595,165,0,0,4,51,0.0
6064308,DIKY SISWANTO,Universitas Widya Gama,S1 - Teknik Elektro,"Networking, Wireless Comms, Artificial Intelligence, Control Engineering, Internet of Things",393,162,0,0,5,33,2.0
5999156,KHOJANAH HASAN,Universitas Widya Gama,S1 - Akuntansi,Akuntansi,262,160,0,0,0,55,0.0
5998643,GUNARIANTO,Universitas Widya Gama,S1 - Akuntansi,Akuntansi,424,154,0,0,1,93,0.0
5978165,FRIDA DWI ANGGRAENI,Universitas Widya Gama,S1 - Teknologi Hasil Pertanian,Teknologi Hasil Pertanian,336,149,0,0,5,32,0.0
5978099,MOHAMMAD SUI,Universitas Widya Gama,S1 - Teknologi Hasil Pertanian,"Enzyme, Food Technology",574,147,0,0,3,48,5.0
5998832,ENDAH PUSPITOSARIE,Universitas Widya Gama,D3 - Keuangan Dan Perbankan,Akuntansi,216,142,0,0,2,40,0.0
6655997,NGUDI TJAHJONO,Universitas Widya Gama,S1 - Teknik Industri,"Environment, Ergonomics",261,139,0,0,2,22,0.0
6729051,RANGGA PAHLEVI PUTRA,Universitas Widya Gama,S1 - Teknik Informatika,"Image Processing, Biometric System, Digital Marketing, Informatics",164,130,0,0,0,20,0.0
6745431,ANDY HARDIANTO,Universitas Widya Gama,S1 - Teknik Industri,manufaktur,378,129,0,0,4,23,1.0
