SINTA_ID,Author_Name,University,Department,Subjects,SINTA_Score_Overall,SINTA_Score_3Yr,Affil_Score,Affil_Score_3Yr,Scopus,GScholar,WOS
161222,ISTIADI,Universitas Widya Gama,S1 - Teknik Informatika,"Electronic and Information Technology, Expert System, Semantic Technology",1.873,950,0,0,27,86,7.0
5977530,ADYA HERMAWATI,Universitas Widya Gama,S2 - Manajemen,"Human Resource Management, Management Strategy, Perilaku Organisasi",1.879,653,0,0,21,172,0.0
6663726,PURBO SUWANDONO,Universitas Widya Gama,S1 - Teknik Mesin,"heat transfer, manufacturing, mechanic fluid, mathematic",685,466,0,0,9,50,0.0
6104467,EMMA BUDI SULISTIARINI,Universitas Widya Gama,S1 - Teknik Industri,Industrial Engineering and Management,965,434,0,0,6,77,2.0
5977277,ARIE RESTU WARDHANI,Universitas Widya Gama,S1 - Teknik Industri,"Innovation Management, SME's, Optimisation, Simulation, Management Information System",615,396,0,0,1,40,0.0
5987236,DADANG HERMAWAN,Universitas Widya Gama,S1 - Teknik Mesin,Konversi Energi dan Material,704,338,0,0,5,41,0.0
5989963,NOVA RISDIYANTO ISMAIL,Universitas Widya Gama,S1 - Teknik Mesin,Konversi Energi,603,254,0,0,4,79,0.0
5981061,CHAULIAH FATMA PUTRI,Universitas Widya Gama,S1 - Teknik Industri,"Performance Measurement, Industrial Engineering",606,214,0,0,4,47,0.0
6695241,ARIEF RIZKI FADHILLAH,Universitas Widya Gama,S1 - Teknik Mesin,Material Manufaktur dan komposit,322,208,0,0,1,41,0.0
5990635,SILVIANA,Universitas Widya Gama,S1 - Teknik Industri,Teknik Industri,614,201,0,0,4,25,0.0
6655997,NGUDI TJAHJONO,Universitas Widya Gama,S1 - Teknik Industri,"Environment, Ergonomics",261,139,0,0,2,22,0.0
6729051,RANGGA PAHLEVI PUTRA,Universitas Widya Gama,S1 - Teknik Informatika,"Image Processing, Biometric System, Digital Marketing, Informatics",164,130,0,0,0,20,0.0
6745431,ANDY HARDIANTO,Universitas Widya Gama,S1 - Teknik Industri,manufaktur,378,129,0,0,4,23,1.0
