profile_picture,id,url,name,department.url,department.name,h_index.scopus,h_index.scholar,scores.sinta_3_years,scores.sinta,scores.affil_3_years,scores.affil
https://scholar.google.co.id/citations?view_op=view_photo&user=W_NbhaMAAAAJ&citpid=1,5986966,https://sinta.kemdikbud.go.id/authors/profile/5986966,AJI SURAJI,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/A53B3D5D-09C9-4A7B-BDAD-B32C96BB324E,Teknik Sipil (S1),4,10,1289,2326,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=fh1GHqgAAAAJ&citpid=1,161222,https://sinta.kemdikbud.go.id/authors/profile/161222,ISTIADI,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/8A894EDC-B2F1-4575-95B8-91EB1E708F4F,Teknik Informatika (S1),5,10,950,1873,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=vEy_Ta0AAAAJ&citpid=1,6172418,https://sinta.kemdikbud.go.id/authors/profile/6172418,AVIV YUNIAR RAHMAN,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/8A894EDC-B2F1-4575-95B8-91EB1E708F4F,Teknik Informatika (S1),8,12,810,1438,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=HJV1TIAAAAAJ&citpid=1,5978881,https://sinta.kemdikbud.go.id/authors/profile/5978881,ANA SOPANAH SUPRIYADI,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/D047476A-5DB6-42FB-81DE-3D64D4CA1D24,Akuntansi (S1),3,13,802,1666,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=ZZnVfRkAAAAJ&hl=en&citpid=1,161208,https://sinta.kemdikbud.go.id/authors/profile/161208,FITRI MARISA,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/8A894EDC-B2F1-4575-95B8-91EB1E708F4F,Teknik Informatika (S1),5,22,787,2173,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=Qk5RS2gAAAAJ&citpid=1,5977179,https://sinta.kemdikbud.go.id/authors/profile/5977179,CANDRA ADITYA,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/A53B3D5D-09C9-4A7B-BDAD-B32C96BB324E,Teknik Sipil (S1),2,7,706,1332,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=G6DPUigAAAAJ&citpid=1,5977530,https://sinta.kemdikbud.go.id/authors/profile/5977530,ADYA HERMAWATI,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/A5A50490-A86B-47DD-AABC-7CA0B9EEE3B4,Manajemen (S2),7,19,653,1879,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=55NSbbAAAAAJ&citpid=1,5972684,https://sinta.kemdikbud.go.id/authors/profile/5972684,SABAR SETIAWIDAYAT,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/5885B881-5366-4F41-B861-F7606CF6A7DA,Teknik Elektro (S1),5,10,588,1238,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=mpLScP4AAAAJ&citpid=1,5973160,https://sinta.kemdikbud.go.id/authors/profile/5973160,GIGIH PRIYANDOKO,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/5885B881-5366-4F41-B861-F7606CF6A7DA,Teknik Elektro (S1),10,16,527,1817,0,0
https://scholar.google.co.id/citations?view_op=view_photo&user=Q_j_ybEAAAAJ&citpid=1,5998828,https://sinta.kemdikbud.go.id/authors/profile/5998828,RIMAN,https://sinta.kemdikbud.go.id/departments/profile/2058/420D8E73-68F0-4044-86CF-5138D1419B20/A53B3D5D-09C9-4A7B-BDAD-B32C96BB324E,Teknik Sipil (S1),1,3,502,660,0,0
