Title,Link,Quartile,Journal,Year,Cited Count,Author Order,Authors,Scopus Indexed,DOI
Effects of overloading commercial vehicles on road design life,https://www.scopus.com/record/display.uri?eid=2-s2.0-85190712514&origin=resultslist,Q4 as Conference Proceedin,AIP Conference Proceedings,2024,0 cited,Author Order : 1 of 7,N/A,N/A,N/A
Identification of Road Surface Defects Using Multiclass Support Vector Machine,https://www.scopus.com/record/display.uri?eid=2-s2.0-85176597413&origin=resultslist,no-Q as Conference Proceedin,2023 4th International Conference on Artificial Intelligence and Data Sciences: Discovering Technolo,2023,0 cited,Author Order : 1 of 7,N/A,N/A,N/A
Moving Car Observation (MCO) for Road Surface Defect Identification Using GPS Video,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163131496&origin=resultslist,no-Q as Conference Proceedin,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",2023,0 cited,Author Order : 1 of 7,N/A,N/A,N/A
Smart Route Choice Based on Google Maps Application in Urban Road Network,https://www.scopus.com/record/display.uri?eid=2-s2.0-85143070907&origin=resultslist,no-Q as Conference Proceedin,"Proceedings - 2022 1st International Conference on Technology Innovation and Its Applications, ICTII",2022,0 cited,Author Order : 1 of 7,N/A,N/A,N/A
Correlation of Expansive Soil and Road Pavement Conditions Using Data Mining from GIS Portal,https://www.scopus.com/record/display.uri?eid=2-s2.0-85138344500&origin=resultslist,no-Q as Conference Proceedin,"Proceedings - 2022 IEEE International Conference on Cybernetics and Computational Intelligence, Cybe",2022,2 cited,Author Order : 1 of 7,N/A,N/A,N/A
Application of the Synthetic Over-Sampling Method to Increase the Sensitivity of Algorithm Classification for Class Imbalance in Small Spatial Datasets,https://www.scopus.com/record/display.uri?eid=2-s2.0-85136695323&origin=resultslist,Q2 as Journal,International Journal of Intelligent Engineering and Systems,2022,1 cited,Author Order : 1 of 7,N/A,N/A,N/A
Empirical Study of a Spatial Analysis for Prone Road Traffic Accident Classification based on MCDM Method,https://www.scopus.com/record/display.uri?eid=2-s2.0-85131407914&origin=resultslist,Q3 as Journal,International Journal of Advanced Computer Science and Applications,2022,8 cited,Author Order : 1 of 7,N/A,N/A,N/A
ACCIDENT RISK ANALYSIS OF ROAD GEOMETRIC COMPONENTS USING FUNCTIONAL WORTHINESS APPROACH,https://www.scopus.com/record/display.uri?eid=2-s2.0-85133512618&origin=resultslist,Q3 as Journal,Eastern-European Journal of Enterprise Technologies,2022,3 cited,Author Order : 1 of 7,N/A,N/A,N/A
ANALYSIS OF SOIL CHARACTERISTICS ON EXPANSIVE CLAY STABILIZATION USING SHELL ASH,https://www.scopus.com/record/display.uri?eid=2-s2.0-85123530649&origin=resultslist,Q3 as Journal,Eastern-European Journal of Enterprise Technologies,2021,3 cited,Author Order : 1 of 7,N/A,N/A,N/A
ANALYSIS OF INTERCITY BUS PUBLIC TRANSPORT SAFETY PERCEPTION MODELING USING CONJOINT,https://www.scopus.com/record/display.uri?eid=2-s2.0-85119399144&origin=resultslist,Q3 as Journal,Eastern-European Journal of Enterprise Technologies,2021,7 cited,Author Order : 1 of 7,N/A,N/A,N/A
