Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Pemanfaatan dinding sebagai permukaan kondensasi untuk meningkatkan kinerja solar still double slope,https://garuda.kemdikbud.go.id/documents/detail/3508648,"TURBO [Tulisan Riset Berbasis Online] Vol 12, No 1 (2023): Jurnal TURBO","TURBO [Tulisan Riset Berbasis Online] Vol 12, No 1 (2023): Jurnal TURBO",Author Order : 3 of 4,"TURBO [Tulisan Riset Berbasis Online] Vol 12, No 1 (2023): Jurnal TURBO",2023,DOI: 10.24127/trb.v12i1.2439,Accred : Sinta 3,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
PENGARUH JUMLAH SUDU TERHADAP UNJUK KERJA 3D PRINT TURBIN AIR TIPE VORTEX,https://garuda.kemdikbud.go.id/documents/detail/2837002,"TURBO [Tulisan Riset Berbasis Online] Vol 11, No 1 (2022): Jurnal TURBO Volume 11 Nomor 1 Juni 2022","TURBO [Tulisan Riset Berbasis Online] Vol 11, No 1 (2022): Jurnal TURBO Volume 11 Nomor 1 Juni 2022",Author Order : 3 of 4,"TURBO [Tulisan Riset Berbasis Online] Vol 11, No 1 (2022): Jurnal TURBO Volume 11 Nomor 1 Juni 2022",2022,DOI: 10.24127/trb.v11i1.1935,Accred : Sinta 3,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
PENGARUH METODE PROSES MANUFAKTUR TERHADAP KEKUATAN BENDING KOMPOSIT SERAT KULIT POHON WARU SEBAGAI MATERIAL TERBARUKAN UNTUK PESAWAT NIRAWAK,https://garuda.kemdikbud.go.id/documents/detail/3230713,Jurnal Energi dan Teknologi Manufaktur Vol 5 No 02 (2022)15-22,Jurnal Energi dan Teknologi Manufaktur Vol 5 No 02 (2022)15-22,Author Order : 3 of 4,Jurnal Energi dan Teknologi Manufaktur Vol 5 No 02 (2022)15-22,2022,DOI: 10.33795/jetm.v5i02.131,Accred : Sinta 4,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
ANALISIS REDESAIN ALAT CETAK KUE SATU DENGAN METODE ZERO ONE DAN MATRIK EVALUASI,https://garuda.kemdikbud.go.id/documents/detail/2459424,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""259-268","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""259-268",Author Order : 3 of 4,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""259-268",2021,DOI: -,Accred : Unknown,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
PENINGKATAN KUALITAS MOTORIK ANAK USIA DINI BERBASIS ALAT PERMAINAN EDUKATIF DI POS PAUD PELANGI KELURAHAN MERGOSONO MALANG,https://garuda.kemdikbud.go.id/documents/detail/2459594,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""665-668","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""665-668",Author Order : 3 of 4,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""665-668",2021,DOI: -,Accred : Unknown,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
OPTIMASI LP (LOW PRESSURE) AUXILIARY STEAM PADA DESALINATION PLANT UNTUK MENINGKATKAN PRODUKSI STEAM TURBINE PLTGU GRATI,https://garuda.kemdikbud.go.id/documents/detail/2409475,,,Author Order : 3 of 4,,2021,DOI: 10.35891/jmmt.v2i2.2701,Accred : Unknown,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
Peningkatan Produktivitas Usaha Sambal Kemasan Bagi Usaha Kecil Menengah,https://garuda.kemdikbud.go.id/documents/detail/2312164,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 4, No 2 (2021): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS93-100","JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 4, No 2 (2021): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS93-100",Author Order : 3 of 4,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 4, No 2 (2021): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS93-100",2021,DOI: 10.31328/js.v4i2.2675,Accred : Sinta 5,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
Kinematika Sendi Lengan Penari Bapang Malangan,https://garuda.kemdikbud.go.id/documents/detail/2212544,Virtual of Mechanical Engineering Article Vol 6 No 1 (2021): V-MAC35 45,Virtual of Mechanical Engineering Article Vol 6 No 1 (2021): V-MAC35 45,Author Order : 3 of 4,Virtual of Mechanical Engineering Article Vol 6 No 1 (2021): V-MAC35 45,2021,DOI: 10.36526/v-mac.v6i1.1292,Accred : Sinta 6,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
PEMASARAN DIGITAL UNTUK PENINGKATAN PRODUKTIFITAS KUE DI UNIESTY CAKE AND COOKIES SINGOSARI,https://garuda.kemdikbud.go.id/documents/detail/2459611,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""897-904","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""897-904",Author Order : 3 of 4,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""897-904",2021,DOI: -,Accred : Unknown,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
Penggunaan Sistem Keuangan Berbasis Ms. Accesss Dalam Meningkatkan Kualitas Pengelolaan Keuangan UKM Keripik Pisang âRamestaâ,https://garuda.kemdikbud.go.id/documents/detail/3385967,JASTEN (Jurnal Aplikasi Sains Teknologi Nasional) Vol. 2 No. 1 (2021)7-15,JASTEN (Jurnal Aplikasi Sains Teknologi Nasional) Vol. 2 No. 1 (2021)7-15,Author Order : 3 of 4,JASTEN (Jurnal Aplikasi Sains Teknologi Nasional) Vol. 2 No. 1 (2021)7-15,2021,DOI: 10.36040/jasten.v2i1.3436,Accred : Unknown,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
Peningkatan Pengelolaan Keuangan UKM Keripik Pisang di Kabupaten Tulungagung Melalui Sistem Keuangan Berbasis Microsoft Acces,https://garuda.kemdikbud.go.id/documents/detail/1733900,J-Dinamika : Jurnal Pengabdian Masyarakat Vol 5 No 1 (2020): Juni31-35,J-Dinamika : Jurnal Pengabdian Masyarakat Vol 5 No 1 (2020): Juni31-35,Author Order : 2 of 2,J-Dinamika : Jurnal Pengabdian Masyarakat Vol 5 No 1 (2020): Juni31-35,2020,DOI: 10.25047/j-dinamika.v5i1.1388,Accred : Sinta 4,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
Perbaikan Kemasan Kerupuk Singkong (Samiler) di UKM Karya Lestari Jaya Tulungagung,https://garuda.kemdikbud.go.id/documents/detail/1730047,"JAST : Jurnal Aplikasi Sains dan Teknologi Vol 4, No 1 (2020): EDISI JUNI 20209-17","JAST : Jurnal Aplikasi Sains dan Teknologi Vol 4, No 1 (2020): EDISI JUNI 20209-17",Author Order : 2 of 2,"JAST : Jurnal Aplikasi Sains dan Teknologi Vol 4, No 1 (2020): EDISI JUNI 20209-17",2020,DOI: 10.33366/jast.v4i1.1473,Accred : Sinta 4,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
PENGARUH JUMLAH ALIRAN INPUT RESIN PADA PROSES VACCUM INFUSION RESIN TERHADAP BEBAN DAN WAKTU PATAH UJI TARIK KOMPOSIT SERAT KULIT POHON WARU,https://garuda.kemdikbud.go.id/documents/detail/2782617,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""525-532","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""525-532",Author Order : 2 of 2,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""525-532",2020,DOI: -,Accred : Unknown,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
PENINGKATAN KEMAMPUAN TENAGA KERJA UKM KARYA LESTARI JAYA DALAM MAINTENANCE MESIN STEAMER,https://garuda.kemdikbud.go.id/documents/detail/2459486,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""1139-1146","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""1139-1146",Author Order : 2 of 2,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""1139-1146",2020,DOI: -,Accred : Unknown,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
PENGUKURAN ANTROPOMETRI UNTUK PERANCANGAN MEJA OPERATOR OPAK SINGKONG,https://garuda.kemdikbud.go.id/documents/detail/2045931,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""403-408","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""403-408",Author Order : 2 of 2,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""403-408",2020,DOI: -,Accred : Unknown,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
