Title,Link,Quartile,Journal,Year,Cited Count,Author Order,Authors,Scopus Indexed,DOI
PENERAPAN JALUR SEPEDA PADA JARINGAN JALAN DI KOTA MALANG,https://garuda.kemdikbud.go.id/documents/detail/4010033,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 1 (2024)81-92",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 1 (2024)81-92",N/A,N/A
STUDI KEBUTUHAN TERMINAL ANGKUTAN BARANG DI KABUPATEN PROBOLINGGO,https://garuda.kemdikbud.go.id/documents/detail/4010049,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 1 (2024)13-24",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 1 (2024)13-24",N/A,N/A
Efektivitas Penggunaan Teknologi Building Information Modelling (BIM) Dalam Desain Rumah 3 Lantai,https://garuda.kemdikbud.go.id/documents/detail/4266207,Accred : Unknown,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 7, No 1 (2024): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS51-59",2024,DOI: 10.31328/js.v7i1.5682,Author Order : 1 of 7,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 7, No 1 (2024): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS51-59",N/A,N/A
Pendekatan Teknologi Penanganan Longsor Pada Lokasi Tower di PT PLN (Persero) UPT Semarang Jawa Tengah,https://garuda.kemdikbud.go.id/documents/detail/4266211,Accred : Unknown,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 7, No 1 (2024): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS60-66",2024,DOI: 10.31328/js.v7i1.5688,Author Order : 1 of 7,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 7, No 1 (2024): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS60-66",N/A,N/A
ANALISIS KUAT TEKAN PAVING BLOCK UNTUK PERKERASAN JALAN,https://garuda.kemdikbud.go.id/documents/detail/4528977,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)319-328",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)319-328",N/A,N/A
STUDI PERBANDINGAN CURAH HUJAN AKTUAL DAN DATA SATELIT GPM DI BENDUNGAN KUNINGAN,https://garuda.kemdikbud.go.id/documents/detail/4528984,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)329-338",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)329-338",N/A,N/A
APLIKASI TEKNOLOGI APC PADA SEPEDA MOTOR RODA TIGA ANGKUTAN BARANG,https://garuda.kemdikbud.go.id/documents/detail/4528985,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)167-172",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)167-172",N/A,N/A
EVALUASI STRUKTUR DERMAGA KAISON AKIBAT RENCANA PENGEMBANGAN PELABUHAN,https://garuda.kemdikbud.go.id/documents/detail/4528994,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)191-202",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)191-202",N/A,N/A
EVALUASI PROYEK PENINGKATAN JALAN MAYANG-KALISAT-AJUNG KABUPATEN JEMBER MENGGUNAKAN METODE EARNED VALUE,https://garuda.kemdikbud.go.id/documents/detail/4529000,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)251-258",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)251-258",N/A,N/A
EVALUASI KINERJA SIMPANG 4 MERGAN KOTA MALANG,https://garuda.kemdikbud.go.id/documents/detail/4529001,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)243-250",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)243-250",N/A,N/A
