Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile
Klasifikasi Jenis Burung Cucak Berdasarkan Suara Menggunakan MFCC Dan Naive Bayes,https://garuda.kemdikbud.go.id/documents/detail/4113707,JURNAL FASILKOM Vol 14 No 2 (2024): Jurnal FASILKOM (teknologi inFormASi dan ILmu KOMputer)463-470,JURNAL FASILKOM Vol 14 No 2 (2024): Jurnal FASILKOM (teknologi inFormASi dan ILmu KOMputer)463-470,Author Order : 3 of 3,JURNAL FASILKOM Vol 14 No 2 (2024): Jurnal FASILKOM (teknologi inFormASi dan ILmu KOMputer)463-470,2024,DOI: 10.37859/jf.v14i2.7558,Accred : Sinta 4
KLASIFIKASI TEKS BERITA BREAKING NEWS DI MANGGARAI MENGGUNAKAN LONG SHORT TERM MEMORY (LSTM),https://garuda.kemdikbud.go.id/documents/detail/4366252,Jurnal Mnemonic Vol 7 No 2 (2024): Mnemonic Vol. 7 No. 2170-174,Jurnal Mnemonic Vol 7 No 2 (2024): Mnemonic Vol. 7 No. 2170-174,Author Order : 3 of 3,Jurnal Mnemonic Vol 7 No 2 (2024): Mnemonic Vol. 7 No. 2170-174,2024,DOI: 10.36040/mnemonic.v7i2.9939,Accred : Sinta 4
Intelligent classification and performance prediction of multi-text assessment with recurrent neural networks-long short-term memory,https://garuda.kemdikbud.go.id/documents/detail/4402342,"IAES International Journal of Artificial Intelligence (IJ-AI) Vol 13, No 3: September 20243350-3363","IAES International Journal of Artificial Intelligence (IJ-AI) Vol 13, No 3: September 20243350-3363",Author Order : 3 of 3,"IAES International Journal of Artificial Intelligence (IJ-AI) Vol 13, No 3: September 20243350-3363",2024,DOI: 10.11591/ijai.v13.i3.pp3350-3363,Accred : Unknown
Detection of Diseases and Pests on The Leaves of Sweet Potato Plants sing Yolov4,https://garuda.kemdikbud.go.id/documents/detail/4452739,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 1 (2024): Buana Information Technology and Computer Sciences (BIT and CS)39-44,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 1 (2024): Buana Information Technology and Computer Sciences (BIT and CS)39-44,Author Order : 3 of 3,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 1 (2024): Buana Information Technology and Computer Sciences (BIT and CS)39-44,2024,DOI: 10.36805/bit-cs.v5i1.6065,Accred : Sinta 5
A Detection of Malacca Woven Fabric Motifs Using the YOLOv4 Method,https://garuda.kemdikbud.go.id/documents/detail/4452741,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 1 (2024): Buana Information Technology and Computer Sciences (BIT and CS)45-50,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 1 (2024): Buana Information Technology and Computer Sciences (BIT and CS)45-50,Author Order : 3 of 3,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 1 (2024): Buana Information Technology and Computer Sciences (BIT and CS)45-50,2024,DOI: 10.36805/bit-cs.v5i1.6081,Accred : Sinta 5
Identification of Socio Economic Registration Data Using OCR Based Tesseract and Google Cloud Vision,https://garuda.kemdikbud.go.id/documents/detail/4452743,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 2 (2024): Buana Information Technology and Computer Sciences (BIT and CS)64-73,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 2 (2024): Buana Information Technology and Computer Sciences (BIT and CS)64-73,Author Order : 3 of 3,Buana Information Technology and Computer Sciences (BIT and CS) Vol 5 No 2 (2024): Buana Information Technology and Computer Sciences (BIT and CS)64-73,2024,DOI: 10.36805/bit-cs.v5i2.6258,Accred : Sinta 5
"Optimasi Klasifikasi Sentimen Komentar Pengguna Game Bergerak Menggunakan Svm, Grid Search Dan Kombinasi N-Gram",https://garuda.kemdikbud.go.id/documents/detail/4515174,Jurnal Teknologi Informasi dan Ilmu Komputer Vol 11 No 4: Agustus 2024743-752,Jurnal Teknologi Informasi dan Ilmu Komputer Vol 11 No 4: Agustus 2024743-752,Author Order : 3 of 3,Jurnal Teknologi Informasi dan Ilmu Komputer Vol 11 No 4: Agustus 2024743-752,2024,DOI: 10.25126/jtiik.1148244,Accred : Sinta 2
KLASIFIKASI JENIS SARUNG ADAT ILE APE MENGGUNAKAN GLCM DAN SVM,https://garuda.kemdikbud.go.id/documents/detail/4523130,JATI (Jurnal Mahasiswa Teknik Informatika) Vol. 8 No. 4 (2024): JATI Vol. 8 No. 47196-7203,JATI (Jurnal Mahasiswa Teknik Informatika) Vol. 8 No. 4 (2024): JATI Vol. 8 No. 47196-7203,Author Order : 3 of 3,JATI (Jurnal Mahasiswa Teknik Informatika) Vol. 8 No. 4 (2024): JATI Vol. 8 No. 47196-7203,2024,DOI: 10.36040/jati.v8i4.10223,Accred : Sinta 5
DETEKSI KESEGERAN IKAN LAYUR BERDASARKAN CITRA MATA MENGGUNAKAN YOLOV8,https://garuda.kemdikbud.go.id/documents/detail/4523389,JATI (Jurnal Mahasiswa Teknik Informatika) Vol. 8 No. 5 (2024): JATI Vol. 8 No. 510263-10270,JATI (Jurnal Mahasiswa Teknik Informatika) Vol. 8 No. 5 (2024): JATI Vol. 8 No. 510263-10270,Author Order : 3 of 3,JATI (Jurnal Mahasiswa Teknik Informatika) Vol. 8 No. 5 (2024): JATI Vol. 8 No. 510263-10270,2024,DOI: 10.36040/jati.v8i5.11020,Accred : Sinta 5
Peningkatan Standarisasi Kualitas Pupuk dan Ubi Berbasis Sistem Cerdas,https://garuda.kemdikbud.go.id/documents/detail/3293226,Jurnal Abdimas Mahakam Vol. 7 No. 01 (2023): Abdimas Mahakam77-83,Jurnal Abdimas Mahakam Vol. 7 No. 01 (2023): Abdimas Mahakam77-83,Author Order : 3 of 3,Jurnal Abdimas Mahakam Vol. 7 No. 01 (2023): Abdimas Mahakam77-83,2023,DOI: 10.24903/jam.v7i01.1919,Accred : Sinta 4
