Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Implementasi Pompa Hidram di Desa Ngadireso Kabupaten Malang,https://scholar.google.com/scholar?q=+intitle:%27Implementasi%20Pompa%20Hidram%20di%20Desa%20Ngadireso%20Kabupaten%20Malang%27,"JAST: Jurnal Aplikasi Sains dan Teknologi 7 (1), 1-11, 2023","JAST: Jurnal Aplikasi Sains dan Teknologi 7 (1), 1-11, 2023",N/A,"Authors : P Suwandono, NR Ismail, N Tjahjono",2023,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Pembuatan Instalasi Pengolahan Limbah (IPAL) Berbasis Eco-green di SDN Madyopuro 2 Malang,https://scholar.google.com/scholar?q=+intitle:%27Pembuatan%20Instalasi%20Pengolahan%20Limbah%20(IPAL)%20Berbasis%20Eco-green%20di%20SDN%20Madyopuro%202%20Malang%27,"JURNAL APLIKASI DAN INOVASI IPTEKS"" SOLIDITAS""(J-SOLID) 6 (1), 114-121, 2023","JURNAL APLIKASI DAN INOVASI IPTEKS"" SOLIDITAS""(J-SOLID) 6 (1), 114-121, 2023",N/A,"Authors : AT Sudjianto, Z Zulkifli, N Paramita, N Tjahjono, MY Faried",2023,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Analisis Kualitas Produk Sepatu Dengan Metode Six Sigma Dan Kaizen,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kualitas%20Produk%20Sepatu%20Dengan%20Metode%20Six%20Sigma%20Dan%20Kaizen%27,"Prosidia Widya Saintex 1 (1), 85-94, 2022","Prosidia Widya Saintex 1 (1), 85-94, 2022",N/A,"Authors : CF Putri, N Tjahjono, PX De Jesus",2022,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Counseling and application of personal protective equipment to reduce work accidents in welding workshops,https://scholar.google.com/scholar?q=+intitle:%27Counseling%20and%20application%20of%20personal%20protective%20equipment%20to%20reduce%20work%20accidents%20in%20welding%20workshops%27,"Abdimas: Jurnal Pengabdian Masyarakat Universitas Merdeka Malang 7 (3), 460-470, 2022","Abdimas: Jurnal Pengabdian Masyarakat Universitas Merdeka Malang 7 (3), 460-470, 2022",N/A,"Authors : CF Putri, N Tjahjono",2022,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Smart Route Choice Based on Google Maps Application in Urban Road Network,https://scholar.google.com/scholar?q=+intitle:%27Smart%20Route%20Choice%20Based%20on%20Google%20Maps%20Application%20in%20Urban%20Road%20Network%27,"2022 1st International Conference on Technology Innovation and Its …, 2022","2022 1st International Conference on Technology Innovation and Its …, 2022",N/A,"Authors : A Suraji, G Subiyakto, D Irawan, F Marisa, N Tjahjono, MW Nugroho",2022,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
"Penyuluhan dan penerapan konsep unsafe action dan unsafe condition pada bengkel las gono di Kelurahan Dinoyo, Kecamatan Lowokwaru, Kota Malang","https://scholar.google.com/scholar?q=+intitle:%27Penyuluhan%20dan%20penerapan%20konsep%20unsafe%20action%20dan%20unsafe%20condition%20pada%20bengkel%20las%20gono%20di%20Kelurahan%20Dinoyo,%20Kecamatan%20Lowokwaru,%20Kota%20Malang%27","The 4th Conference on Innovation and Application of Science and Technology …, 2021","The 4th Conference on Innovation and Application of Science and Technology …, 2021",N/A,"Authors : CF Putri, N Tjahjono",2021,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Contributors,https://scholar.google.com/scholar?q=+intitle:%27Contributors%27,"Journal of Socioeconomics and Development 4 (2), 255, 2021","Journal of Socioeconomics and Development 4 (2), 255, 2021",N/A,Authors : HR Yuniar,2021,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Penyuluhan pengolahan sampah plastik terintegrasi di desa mulyoarjo kecamatan lawang,https://scholar.google.com/scholar?q=+intitle:%27Penyuluhan%20pengolahan%20sampah%20plastik%20terintegrasi%20di%20desa%20mulyoarjo%20kecamatan%20lawang%27,"no. Ciastech, 933-938, 2021","no. Ciastech, 933-938, 2021",N/A,"Authors : P Suwandono, N Tjahjono, AR Fadhillah",2021,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
"Traffic Noise Level Assessment in the Residential Area around Different Road Functions in Malang City, East Java, Indonesia.","https://scholar.google.com/scholar?q=+intitle:%27Traffic%20Noise%20Level%20Assessment%20in%20the%20Residential%20Area%20around%20Different%20Road%20Functions%20in%20Malang%20City,%20East%20Java,%20Indonesia.%27","Pertanika Journal of Science & Technology 29 (3), 2021","Pertanika Journal of Science & Technology 29 (3), 2021",N/A,"Authors : N Tjahjono, I Hanafi, L Latipun, S Suyadi",2021,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
"Attitudes and Responses Residents Against Traffic Noise in Malang City, East Java, Indonesia","https://scholar.google.com/scholar?q=+intitle:%27Attitudes%20and%20Responses%20Residents%20Against%20Traffic%20Noise%20in%20Malang%20City,%20East%20Java,%20Indonesia%27","Indonesian Journal of Environment and Sustainable Development 11 (2), 2020","Indonesian Journal of Environment and Sustainable Development 11 (2), 2020",N/A,"Authors : N Tjahjono, I Hanafi, L Latipun, S Suyadi",2020,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Pembuatan Alat Pembelah Kayu dan Penyerut Bambu Pada Kelompok Usaha Pengrajin Sangkar Burung di Desa Toyomarto Kecamatan Singosari Kabupaten Malang,https://scholar.google.com/scholar?q=+intitle:%27Pembuatan%20Alat%20Pembelah%20Kayu%20dan%20Penyerut%20Bambu%20Pada%20Kelompok%20Usaha%20Pengrajin%20Sangkar%20Burung%20di%20Desa%20Toyomarto%20Kecamatan%20Singosari%20Kabupaten%20Malang%27,"Jurnal Pengabdian Kepada Masyarakat 24 (2), 637-643, 2018","Jurnal Pengabdian Kepada Masyarakat 24 (2), 637-643, 2018",N/A,"Authors : F Rofii, F Hunaini, N Tjahjono",2018,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Tanaman Hias Sebagai Peredam Kebisingan,https://scholar.google.com/scholar?q=+intitle:%27Tanaman%20Hias%20Sebagai%20Peredam%20Kebisingan%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018",N/A,"Authors : N Tjahjono, I Nugroho",2018,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Peningkatan Grade Kain Sarung dengan Mengurangi Cacat Menggunakan Metode Kaizen dan Siklus PDCA pada PT. X,https://scholar.google.com/scholar?q=+intitle:%27Peningkatan%20Grade%20Kain%20Sarung%20dengan%20Mengurangi%20Cacat%20Menggunakan%20Metode%20Kaizen%20dan%20Siklus%20PDCA%20pada%20PT.%20X%27,"Jurnal WIDYA TEKNIKA ISSN (p) 1411, 0660, 2018","Jurnal WIDYA TEKNIKA ISSN (p) 1411, 0660, 2018",N/A,"Authors : MS Arif, CF Putri, N Tjahjono",2018,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Drone untuk Fotografi dan Videografi bagi Pegiat Wisata Desa Gubugklakah Poncokusumo Kabupaten Malang,https://scholar.google.com/scholar?q=+intitle:%27Drone%20untuk%20Fotografi%20dan%20Videografi%20bagi%20Pegiat%20Wisata%20Desa%20Gubugklakah%20Poncokusumo%20Kabupaten%20Malang%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018",N/A,"Authors : F Rofii, F Hunaini, N Tjahjono, MI Fanani",2018,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
