Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile
Analisis Kerusakan Jalan Menggunakan Metode PCI pada Jalan Perkerasan Kaku,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kerusakan%20Jalan%20Menggunakan%20Metode%20PCI%20pada%20Jalan%20Perkerasan%20Kaku%27,"Jurnal Aplikasi Teknik Sipil 22 (3), 207-214, 2024","Jurnal Aplikasi Teknik Sipil 22 (3), 207-214, 2024",N/A,Authors : A Suraji,2024,N/A,N/A
Effects of overloading commercial vehicles on road design life,https://scholar.google.com/scholar?q=+intitle:%27Effects%20of%20overloading%20commercial%20vehicles%20on%20road%20design%20life%27,"AIP Conference Proceedings 3110 (1), 2024","AIP Conference Proceedings 3110 (1), 2024",N/A,"Authors : A Suraji, AT Sudjianto, R Riman, C Aditya, M Cakrawala, M Fatkhurrozi, ...",2024,N/A,N/A
ANALISIS PEMILIHAN MODA TRANSPORTASI BUS PATAS DAN KERETA API KORIDOR MALANG–SURABAYA MENGGUNAKAN METODE STATED PREFERENCE,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PEMILIHAN%20MODA%20TRANSPORTASI%20BUS%20PATAS%20DAN%20KERETA%20API%20KORIDOR%20MALANG%E2%80%93SURABAYA%20MENGGUNAKAN%20METODE%20STATED%20PREFERENCE%27,"Jurnal Arsip Rekayasa Sipil dan Perencanaan 7 (3), 2024","Jurnal Arsip Rekayasa Sipil dan Perencanaan 7 (3), 2024",N/A,"Authors : EU Jati, A Suraji, R Riman",2024,N/A,N/A
ANALISIS GRANULOMETRI PENAMBAHAN TANAH LEMPUNG EKSPANSIF AMPELGADING TERHADAP POTENSI LIKUIFAKSI TANAH PASIR DELTA BRANTAS,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20GRANULOMETRI%20PENAMBAHAN%20TANAH%20LEMPUNG%20EKSPANSIF%20AMPELGADING%20TERHADAP%20POTENSI%20LIKUIFAKSI%20TANAH%20PASIR%20DELTA%20BRANTAS%27,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 4 (1), 7-15, 2024","BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 4 (1), 7-15, 2024",N/A,"Authors : YIW Gasa, AT Sudjianto, A Suraji",2024,N/A,N/A
ANALISIS DAMPAK LALU LINTAS (ANDALALIN) PEMBANGUNAN JALAN LINGKAR UTARA KOTA PASURUAN,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20DAMPAK%20LALU%20LINTAS%20(ANDALALIN)%20PEMBANGUNAN%20JALAN%20LINGKAR%20UTARA%20KOTA%20PASURUAN%27,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 3 (2), 44-52, 2023","BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 3 (2), 44-52, 2023",N/A,"Authors : YAN Aisyah, A Suraji, A Halim",2023,N/A,N/A
Peningkatan Layanan Infrastruktur Jalan Di Kawasan Wisata Bedengan,https://scholar.google.com/scholar?q=+intitle:%27Peningkatan%20Layanan%20Infrastruktur%20Jalan%20Di%20Kawasan%20Wisata%20Bedengan%27,"ABDIMASKU: JURNAL PENGABDIAN MASYARAKAT 6 (2), 424-431, 2023","ABDIMASKU: JURNAL PENGABDIAN MASYARAKAT 6 (2), 424-431, 2023",N/A,"Authors : A Suraji, M Cakrawala",2023,N/A,N/A
Identification of Road Surface Defects Using Multiclass Support Vector Machine,https://scholar.google.com/scholar?q=+intitle:%27Identification%20of%20Road%20Surface%20Defects%20Using%20Multiclass%20Support%20Vector%20Machine%27,"2023 4th International Conference on Artificial Intelligence and Data …, 2023","2023 4th International Conference on Artificial Intelligence and Data …, 2023",N/A,"Authors : A Suraji, AT Sudjianto, R Riman, C Aditya, RP Putra, AY Rahman",2023,N/A,N/A
STUDI PERENCANAAN PONDASI SUMURAN PADA PROYEK PENGEMBANGAN GEDUNG KAMPUS INSTITUT TEKNOLOGI DAN BISNIS WIDYAGAMA LUMAJANG,https://scholar.google.com/scholar?q=+intitle:%27STUDI%20PERENCANAAN%20PONDASI%20SUMURAN%20PADA%20PROYEK%20PENGEMBANGAN%20GEDUNG%20KAMPUS%20INSTITUT%20TEKNOLOGI%20DAN%20BISNIS%20WIDYAGAMA%20LUMAJANG%27,"Prosidia Widya Saintek 2 (2), 129-134, 2023","Prosidia Widya Saintek 2 (2), 129-134, 2023",N/A,"Authors : YI Maulana, A Halim, A Suraji",2023,N/A,N/A
Analisis Kinerja Parkir di Tepi Jalan Umum Wilayah Kota Malang,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kinerja%20Parkir%20di%20Tepi%20Jalan%20Umum%20Wilayah%20Kota%20Malang%27,"Teras Jurnal: Jurnal Teknik Sipil 13 (1), 139-150, 2023","Teras Jurnal: Jurnal Teknik Sipil 13 (1), 139-150, 2023",N/A,"Authors : A Suraji, CM Qomariyah, M Cakrawala, D Irawan, A Halim",2023,N/A,N/A
PENERAPAN METODE EARNED VALUE PADA PROYEK PENINGKATAN JALAN DI KABUPATEN JEMBER,https://scholar.google.com/scholar?q=+intitle:%27PENERAPAN%20METODE%20EARNED%20VALUE%20PADA%20PROYEK%20PENINGKATAN%20JALAN%20DI%20KABUPATEN%20JEMBER%27,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 3 (1), 36-42, 2023","BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 3 (1), 36-42, 2023",N/A,"Authors : FH Ayuningtyas, D Irawan, A Suraji, AT Sudjianto",2023,N/A,N/A
Analisis Kinerja Parkir di Tepi Jalan Umum Wilayah Kota Malang,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kinerja%20Parkir%20di%20Tepi%20Jalan%20Umum%20Wilayah%20Kota%20Malang%27,"Teras Jurnal: Jurnal Teknik Sipil 13 (1), 139-150, 2023","Teras Jurnal: Jurnal Teknik Sipil 13 (1), 139-150, 2023",N/A,"Authors : A Suraji, CM Qomariyah, M Cakrawala, D Irawan, A Halim",2023,N/A,N/A
STUDI PERENCANAAN PONDASI SUMURAN PADA PROYEK PENGEMBANGAN GEDUNG KAMPUS INSTITUT TEKNOLOGI DAN BISNIS WIDYAGAMA LUMAJANG,https://scholar.google.com/scholar?q=+intitle:%27STUDI%20PERENCANAAN%20PONDASI%20SUMURAN%20PADA%20PROYEK%20PENGEMBANGAN%20GEDUNG%20KAMPUS%20INSTITUT%20TEKNOLOGI%20DAN%20BISNIS%20WIDYAGAMA%20LUMAJANG%27,"Prosidia Widya Saintek 2 (2), 129-134, 2023","Prosidia Widya Saintek 2 (2), 129-134, 2023",N/A,"Authors : YI Maulana, A Halim, A Suraji",2023,N/A,N/A
PENERAPAN METODE EARNED VALUE PADA PROYEK PENINGKATAN JALAN DI KABUPATEN JEMBER,https://scholar.google.com/scholar?q=+intitle:%27PENERAPAN%20METODE%20EARNED%20VALUE%20PADA%20PROYEK%20PENINGKATAN%20JALAN%20DI%20KABUPATEN%20JEMBER%27,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 3 (1), 36-42, 2023","BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 3 (1), 36-42, 2023",N/A,"Authors : FH Ayuningtyas, D Irawan, A Suraji, AT Sudjianto",2023,N/A,N/A
ANALISIS PENGARUH BEBAN LEBIH TERHADAP UMUR PERKERASAN JALAN PADA RUAS JALAN KAPTEN TENDEAN KOTA KEDIRI,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PENGARUH%20BEBAN%20LEBIH%20TERHADAP%20UMUR%20PERKERASAN%20JALAN%20PADA%20RUAS%20JALAN%20KAPTEN%20TENDEAN%20KOTA%20KEDIRI%27,"Potensi: Jurnal Sipil Politeknik 25 (2), 61-68, 2023","Potensi: Jurnal Sipil Politeknik 25 (2), 61-68, 2023",N/A,"Authors : BA Putra, A Suraji, LK Wardani, AT Sudjianto",2023,N/A,N/A
PEMANFAATAN DAN PENERAPAN INTERNET of THINGS (IoT) DI BERBAGAI BIDANG (Studi Kasus & Implementasi pemanfaatan serta Penerapan IoT dalam Berbagai Bidang),https://scholar.google.com/scholar?q=+intitle:%27PEMANFAATAN%20DAN%20PENERAPAN%20INTERNET%20of%20THINGS%20(IoT)%20DI%20BERBAGAI%20BIDANG%20%20(Studi%20Kasus%20&%20Implementasi%20pemanfaatan%20serta%20Penerapan%20IoT%20dalam%20Berbagai%20Bidang)%27,,,N/A,"Authors : APO Amane, RW Febriana, M Artiyasa, AO Cahyaningrum, Husain, ...",2023,N/A,N/A
Moving Car Observation (MCO) for Road Surface Defect Identification Using GPS Video,https://scholar.google.com/scholar?q=+intitle:%27Moving%20Car%20Observation%20(MCO)%20for%20Road%20Surface%20Defect%20Identification%20Using%20GPS%20Video%27,"2023 International Conference on Computer Science, Information Technology …, 2023","2023 International Conference on Computer Science, Information Technology …, 2023",N/A,"Authors : A Suraji, AT Sudjianto, R Riman, C Aditya, AY Rahman, RP Putra",2023,N/A,N/A
ANALISIS KENYAMANAN PEJALAN KAKI TERHADAP JALUR PEDESTRIAN DI JALAN VETERAN BOJONEGORO,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20KENYAMANAN%20PEJALAN%20KAKI%20TERHADAP%20JALUR%20PEDESTRIAN%20DI%20JALAN%20VETERAN%20BOJONEGORO%27,"Prosidia Widya Saintek 2 (2), 195-202, 2023","Prosidia Widya Saintek 2 (2), 195-202, 2023",N/A,"Authors : D Zakaria, A Suraji, D Irawan",2023,N/A,N/A
ANALISIS PERHITUNGAN STRUKTUR BANGUNAN 3 LANTAI MENGGUNAKAN APLIKASI SANSPRO,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PERHITUNGAN%20STRUKTUR%20BANGUNAN%203%20LANTAI%20MENGGUNAKAN%20APLIKASI%20SANSPRO%27,"Prosidia Widya Saintek 2 (2), 149-158, 2023","Prosidia Widya Saintek 2 (2), 149-158, 2023",N/A,"Authors : MNW Ningrum, R Riman, A Halim, A Suraji",2023,N/A,N/A
ANALISIS PENGARUH ON-STREET PARKING TERHADAP KINERJA LALU LINTAS DI PASAR BLIMBING KOTA MALANG,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PENGARUH%20ON-STREET%20PARKING%20TERHADAP%20KINERJA%20LALU%20LINTAS%20DI%20PASAR%20BLIMBING%20KOTA%20MALANG%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : CM Qomariyah, A Suraji, A Halim",2022,N/A,N/A
"KAJIAN PERBANDINGAN DAYA REDAM SUARA DAN PANAS PADA MATERIAL DINDING BATAKO, BATU BATA DAN BATA RINGAN","https://scholar.google.com/scholar?q=+intitle:%27KAJIAN%20PERBANDINGAN%20DAYA%20REDAM%20SUARA%20DAN%20PANAS%20PADA%20MATERIAL%20DINDING%20BATAKO,%20BATU%20BATA%20DAN%20BATA%20RINGAN%27","BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 2 (2), 1-10, 2022","BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 2 (2), 1-10, 2022",N/A,"Authors : MRB Kedang, A Halim, A Suraji",2022,N/A,N/A
TEKNOLOGI TEPAT GUNA UNTUK PENINGKATAN PRODUKTIFITAS PEMBUATAN ALAT PERAGA EDUKATIF,https://scholar.google.com/scholar?q=+intitle:%27TEKNOLOGI%20TEPAT%20GUNA%20UNTUK%20PENINGKATAN%20PRODUKTIFITAS%20PEMBUATAN%20ALAT%20PERAGA%20EDUKATIF%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : A Suraji, DU Effendy, M Mulyono, C Aditya, M Cakrawala, A Halim",2022,N/A,N/A
Correlation of Expansive Soil and Road Pavement Conditions Using Data Mining from GIS Portal,https://scholar.google.com/scholar?q=+intitle:%27Correlation%20of%20Expansive%20Soil%20and%20Road%20Pavement%20Conditions%20Using%20Data%20Mining%20from%20GIS%20Portal%27,"2022 IEEE International Conference on Cybernetics and Computational …, 2022","2022 IEEE International Conference on Cybernetics and Computational …, 2022",N/A,"Authors : A Suraji, F Marisa, C Aditya, F Rofii, AT Sudjianto, R Riman",2022,N/A,N/A
THE ROLE OF ADDITIONAL CERAMIC WASTE ON EXPANSIVE CLAY STABILITY,https://scholar.google.com/scholar?q=+intitle:%27THE%20ROLE%20OF%20ADDITIONAL%20CERAMIC%20WASTE%20ON%20EXPANSIVE%20CLAY%20STABILITY%27,"Jurnal Journal of Science and Applied Engineering (JSAE) 5 (1), 2022","Jurnal Journal of Science and Applied Engineering (JSAE) 5 (1), 2022",N/A,"Authors : AT Sudjianto, A Suraji",2022,N/A,N/A
ANALISIS TINGKAT RISIKO LONGSORAN BADAN JALAN PADA JALUR LALU LINTAS BLITAR–KEPANJEN-LUMAJANG,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20TINGKAT%20RISIKO%20LONGSORAN%20BADAN%20JALAN%20PADA%20JALUR%20LALU%20LINTAS%20BLITAR%E2%80%93KEPANJEN-LUMAJANG%27,"Prosiding Forum Ilmiah Nasional Teknik 1 (1), 38-45, 2022","Prosiding Forum Ilmiah Nasional Teknik 1 (1), 38-45, 2022",N/A,"Authors : D Islami, A Tugas, A Suraji",2022,N/A,N/A
INOVASI TEKNOLOGI DALAM MENDUKUNG KEMANDIRIAN BANGSA: Analisis Karakteristik Parkir di Tepi Jalan: Studi Kasus di Mal Ramayana Kota Malang,https://scholar.google.com/scholar?q=+intitle:%27INOVASI%20TEKNOLOGI%20DALAM%20MENDUKUNG%20KEMANDIRIAN%20BANGSA:%20Analisis%20Karakteristik%20Parkir%20di%20Tepi%20Jalan:%20Studi%20Kasus%20di%20Mal%20Ramayana%20Kota%20Malang%27,,,N/A,"Authors : A Suraji, M Cakrawala, N Tjahjono",2022,N/A,N/A
