Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
The impact of Penta-Helix Collaborative Business Incubation Process on the creative business strategic orientation and innovation capability,https://www.scopus.com/record/display.uri?eid=2-s2.0-85183943929&origin=resultslist,International Journal of Learning and Intellectual Capital,International Journal of Learning and Intellectual Capital,Author Order : 4 of 5,N/A,2024,N/A,Q2 as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
"Reconstruction of Spiritual Marketing, Culture of Innovation, Quality of Work Life, and Retainers for Tourism Industry SMEs in East Java",https://www.scopus.com/record/display.uri?eid=2-s2.0-85144702538&origin=resultslist,Administrative Sciences,Administrative Sciences,Author Order : 4 of 5,N/A,2022,N/A,Q2 as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
MARKETING STRATEGY WITH PATH ANALYSIS IN INCREASING COMPETITIVE ADVANTAGE IN TOURISM INDUSTRY SMES IN EAST JAVA,https://www.scopus.com/record/display.uri?eid=2-s2.0-85141280989&origin=resultslist,Journal of Theoretical and Applied Information Technology,Journal of Theoretical and Applied Information Technology,Author Order : 4 of 5,N/A,2022,N/A,Q4 as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
The implementation of dynamic capabilities for small and medium-sized enterprises in creating innovation,https://www.scopus.com/record/display.uri?eid=2-s2.0-85081241033&origin=resultslist,VINE Journal of Information and Knowledge Management Systems,VINE Journal of Information and Knowledge Management Systems,Author Order : 4 of 5,N/A,2021,N/A,Q1 as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
The influence of quality of work-life and compensation on employee performance through organizational culture (study of agricultural extension in Pasuruan Regency),https://www.scopus.com/record/display.uri?eid=2-s2.0-85111487390&origin=resultslist,Academy of Strategic Management Journal,Academy of Strategic Management Journal,Author Order : 4 of 5,N/A,2021,N/A,no-Q as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
Freelancers Intentions Towards Adoption Of Islamic Banking,https://www.scopus.com/record/display.uri?eid=2-s2.0-85104261973&origin=resultslist,Academy of Strategic Management Journal,Academy of Strategic Management Journal,Author Order : 4 of 5,N/A,2021,N/A,no-Q as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
"Satisfaction, hr, and open innovation in tourism sector",https://www.scopus.com/record/display.uri?eid=2-s2.0-85098524646&origin=resultslist,"Journal of Open Innovation: Technology, Market, and Complexity","Journal of Open Innovation: Technology, Market, and Complexity",Author Order : 4 of 5,N/A,2020,N/A,Q1 as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
Unsupervised Data Mining with K-Medoids Method in Mapping Areas of Student and Teacher Ratio in Indonesia,https://www.scopus.com/record/display.uri?eid=2-s2.0-85098103315&origin=resultslist,TEM Journal,TEM Journal,Author Order : 4 of 5,N/A,2020,N/A,Q3 as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
Determining strategy to improve human resources performance by identifying tourism condition SMEs,https://www.scopus.com/record/display.uri?eid=2-s2.0-85097294567&origin=resultslist,Academic Journal of Interdisciplinary Studies,Academic Journal of Interdisciplinary Studies,Author Order : 4 of 5,N/A,2020,N/A,Q3 as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
Supply chain practices of small and medium enterprises as a maximized effort of human resource performance strategy in tourism sector,https://www.scopus.com/record/display.uri?eid=2-s2.0-85087776774&origin=resultslist,International Journal of Supply Chain Management,International Journal of Supply Chain Management,Author Order : 4 of 5,N/A,2020,N/A,no-Q as Journal,ADYA HERMAWATI,5977530,Universitas Widya Gama,S2 - Manajemen
