Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile
Intelligent classification and performance prediction of multi-text assessment with recurrent neural networks-long short-term memory,https://www.scopus.com/record/display.uri?eid=2-s2.0-85200392086&origin=resultslist,IAES International Journal of Artificial Intelligence,IAES International Journal of Artificial Intelligence,Author Order : 6 of 6,N/A,2024,N/A,Q2 as Journal
Classification Facial Expressions of Children with Special Needs Using CNN,https://www.scopus.com/record/display.uri?eid=2-s2.0-85171146920&origin=resultslist,2023 International Seminar on Intelligent Technology and Its Applications: Leveraging Intelligent Sy,2023 International Seminar on Intelligent Technology and Its Applications: Leveraging Intelligent Sy,Author Order : 6 of 6,N/A,2023,N/A,no-Q as Conference Proceedin
Quality Detection of Export Purple Sweet Potatoes Using Yolov4-Tiny,https://www.scopus.com/record/display.uri?eid=2-s2.0-85171178912&origin=resultslist,2023 International Seminar on Intelligent Technology and Its Applications: Leveraging Intelligent Sy,2023 International Seminar on Intelligent Technology and Its Applications: Leveraging Intelligent Sy,Author Order : 6 of 6,N/A,2023,N/A,no-Q as Conference Proceedin
Best Algorithm in Sentiment Analysis of Presidential Election in Indonesia on Twitter,https://www.scopus.com/record/display.uri?eid=2-s2.0-85168835162&origin=resultslist,International Journal of Intelligent Systems and Applications in Engineering,International Journal of Intelligent Systems and Applications in Engineering,Author Order : 6 of 6,N/A,2023,N/A,Q3 as Journal
Fault Detection of Oil Palm Harvesting Using Yolo V4,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163090487&origin=resultslist,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering","ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",Author Order : 6 of 6,N/A,2023,N/A,no-Q as Conference Proceedin
Detection of Tempeh Maturity Quality Using YOLO Tiny V4,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163101867&origin=resultslist,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering","ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",Author Order : 6 of 6,N/A,2023,N/A,no-Q as Conference Proceedin
Voice Classification of Children with Speech Impairment Using MFCC Kernel-Based SVM,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163125152&origin=resultslist,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering","ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",Author Order : 6 of 6,N/A,2023,N/A,no-Q as Conference Proceedin
Moving Car Observation (MCO) for Road Surface Defect Identification Using GPS Video,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163131496&origin=resultslist,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering","ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",Author Order : 6 of 6,N/A,2023,N/A,no-Q as Conference Proceedin
Video-Based Lobster Species Identification Using YOLOv7,https://www.scopus.com/record/display.uri?eid=2-s2.0-85189748452&origin=resultslist,"Proceedings: ICMERALDA 2023 - International Conference on Modeling and E-Information Research, Artif","Proceedings: ICMERALDA 2023 - International Conference on Modeling and E-Information Research, Artif",Author Order : 6 of 6,N/A,2023,N/A,no-Q as Conference Proceedin
Children with Speech Disorders Voice Classification: LSTM and BiLSTM Approach Based on MFCC Features,https://www.scopus.com/record/display.uri?eid=2-s2.0-85189759733&origin=resultslist,"Proceedings: ICMERALDA 2023 - International Conference on Modeling and E-Information Research, Artif","Proceedings: ICMERALDA 2023 - International Conference on Modeling and E-Information Research, Artif",Author Order : 6 of 6,N/A,2023,N/A,no-Q as Conference Proceedin
"Schematic Edge Detection of Power Distribution Networks Using the Canny, Sobel, Robert, and Prewitt Algorithms",https://www.scopus.com/record/display.uri?eid=2-s2.0-85184856196&origin=resultslist,"2023 IEEE International Conference on Computing, ICOCO 2023","2023 IEEE International Conference on Computing, ICOCO 2023",Author Order : 1 of 2,N/A,2023,N/A,no-Q as Conference Proceedin
Disease Segmentation in Water Hyacinth (Eichhornia Crassipes) Images Using YOLOv8,https://www.scopus.com/record/display.uri?eid=2-s2.0-85186703608&origin=resultslist,"Proceedings of the 7th 2023 International Conference on New Media Studies, CONMEDIA 2023","Proceedings of the 7th 2023 International Conference on New Media Studies, CONMEDIA 2023",Author Order : 1 of 2,N/A,2023,N/A,no-Q as Conference Proceedin
Improvement of Starling Image Classification with Gabor and Wavelet Based on Artificial Neural Network,https://www.scopus.com/record/display.uri?eid=2-s2.0-85181914487&origin=resultslist,International Journal on Informatics Visualization,International Journal on Informatics Visualization,Author Order : 1 of 2,N/A,2023,N/A,Q3 as Journal
Identification of Road Surface Defects Using Multiclass Support Vector Machine,https://www.scopus.com/record/display.uri?eid=2-s2.0-85176597413&origin=resultslist,2023 4th International Conference on Artificial Intelligence and Data Sciences: Discovering Technolo,2023 4th International Conference on Artificial Intelligence and Data Sciences: Discovering Technolo,Author Order : 1 of 2,N/A,2023,N/A,no-Q as Conference Proceedin
Fertilizer Quality Detection For Purple Sweet Potato Plants Using YOLOv4-Tiny,https://www.scopus.com/record/display.uri?eid=2-s2.0-85178010633&origin=resultslist,2023 International Seminar on Application for Technology of Information and Communication: Smart Tec,2023 International Seminar on Application for Technology of Information and Communication: Smart Tec,Author Order : 1 of 2,N/A,2023,N/A,no-Q as Conference Proceedin
Quality Detection of Sweet Potato Leaves Using YOLOv4-Tiny,https://www.scopus.com/record/display.uri?eid=2-s2.0-85178075591&origin=resultslist,2023 International Seminar on Application for Technology of Information and Communication: Smart Tec,2023 International Seminar on Application for Technology of Information and Communication: Smart Tec,Author Order : 1 of 2,N/A,2023,N/A,no-Q as Conference Proceedin
